Citire din Bilet.csv,2020-05-02 19:59:23.767
Citire din Ruta.csv,2020-05-02 19:59:23.767
Citire din Masina.csv,2020-05-02 19:59:23.767
Citire din Bilet.csv,2020-05-04 17:33:17.671
Citire din Ruta.csv,2020-05-04 17:33:17.671
Citire din Masina.csv,2020-05-04 17:33:17.671
Citire din Bilet.csv,2020-05-04 17:33:40.37
Citire din Ruta.csv,2020-05-04 17:33:40.37
Citire din Masina.csv,2020-05-04 17:33:40.37
Citire din Oras.csv,2020-05-04 17:33:40.37
Citire din Bilet.csv,2020-05-04 17:34:21.606
Citire din Ruta.csv,2020-05-04 17:34:21.606
Citire din Masina.csv,2020-05-04 17:34:21.606
Citire din Oras.csv,2020-05-04 17:34:21.606
Citire din Bilet.csv,2020-05-04 17:39:40.651
Citire din Ruta.csv,2020-05-04 17:39:40.651
Citire din Masina.csv,2020-05-04 17:39:40.651
Citire din Oras.csv,2020-05-04 17:39:40.651
Citire din Oras.csv,2020-05-04 17:40:14.152
Citire din Ruta.csv,2020-05-04 17:40:14.152
Citire din Masina.csv,2020-05-04 17:40:14.152
Citire din Oras.csv,2020-05-04 21:39:44.586
Citire din Ruta.csv,2020-05-04 21:39:44.586
Citire din Masina.csv,2020-05-04 21:39:44.586
Citire din Oras.csv  ,  2020-05-04 23:40:53.669
Citire din Ruta.csv  ,  2020-05-04 23:40:53.669
Citire din Masina.csv  ,  2020-05-04 23:40:53.669
Citire din Oras.csv  ,  2020-05-04 23:48:08.361
Citire din Ruta.csv  ,  2020-05-04 23:48:08.361
Citire din Masina.csv  ,  2020-05-04 23:48:08.361
Citire din Bilet.csv  ,  2020-05-04 23:48:17.782
Citire din Ruta.csv  ,  2020-05-04 23:48:17.782
Citire din Masina.csv  ,  2020-05-04 23:48:17.782
Citire din Oras.csv  ,  2020-05-04 23:48:17.782
Citire din Bilet.csv  ,  2020-05-04 23:51:06.256
Citire din Ruta.csv  ,  2020-05-04 23:51:06.256
Citire din Masina.csv  ,  2020-05-04 23:51:06.256
Citire din Oras.csv  ,  2020-05-04 23:51:06.256
Citire din Bilet.csv  ,  2020-05-04 23:53:06.733
Citire din Ruta.csv  ,  2020-05-04 23:53:06.733
Citire din Masina.csv  ,  2020-05-04 23:53:06.733
Citire din Oras.csv  ,  2020-05-04 23:53:06.733
Citire din Bilet.csv  ,  2020-05-04 23:53:13.087
Citire din Ruta.csv  ,  2020-05-04 23:53:13.087
Citire din Masina.csv  ,  2020-05-04 23:53:13.087
Citire din Oras.csv  ,  2020-05-04 23:53:13.087
Citire din Bilet.csv  ,  2020-05-05 00:06:22.56
